ID da Nota,Filial,Cidade,Tipo de Cliente,Gênero,Departamento,Preço Unitário,Quantidade,Imposto 5%,Total da Venda,Data,Hora,Forma de Pagamento,Custo das Mercadorias,Margem Bruta %,Lucro Bruto,Avaliação
750-67-8428,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,74.69,7,26.1415,548.9715,2022-10-25 17:43:50.763826,1:08:00 PM,Carteira Digital,522.83,4.761904762,26.1415,9.1
226-31-3081,Giza,Rio de Janeiro,Cliente Ocasional,Feminino,Acessórios Eletrônicos,15.28,5,3.82,80.22,2022-10-26 17:43:50.763826,10:29:00 AM,Dinheiro,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,São Paulo,Cliente Ocasional,Feminino,Casa e Estilo de Vida,46.33,7,16.2155,340.5255,2022-10-27 17:43:50.763826,1:23:00 PM,Cartão de Crédito,324.31,4.761904762,16.2155,7.4
123-19-1176,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,58.22,8,23.288,489.048,2022-10-28 17:43:50.763826,8:33:00 PM,Carteira Digital,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,86.31,7,30.2085,634.3785,2022-10-29 17:43:50.763826,10:37:00 AM,Carteira Digital,604.17,4.761904762,30.2085,5.3
699-14-3026,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,85.39,7,29.8865,627.6165,2022-10-30 17:43:50.763826,6:30:00 PM,Carteira Digital,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,68.84,6,20.652,433.692,2022-10-31 17:43:50.763826,2:36:00 PM,Carteira Digital,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,73.56,10,36.78,772.38,2022-11-01 17:43:50.763826,11:38:00 AM,Carteira Digital,735.6,4.761904762,36.78,8.0
665-32-9167,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,36.26,2,3.626,76.146,2022-11-02 17:43:50.763826,5:15:00 PM,Cartão de Crédito,72.52,4.761904762,3.626,7.2
692-92-5582,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Alimentos e Bebidas,54.84,3,8.226,172.746,2022-11-03 17:43:50.763826,1:27:00 PM,Cartão de Crédito,164.52,4.761904762,8.226,5.9
351-62-0822,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,14.48,4,2.896,60.816,2022-11-04 17:43:50.763826,6:07:00 PM,Carteira Digital,57.92,4.761904762,2.896,4.5
529-56-3974,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios Eletrônicos,25.51,4,5.102,107.142,2022-11-05 17:43:50.763826,5:03:00 PM,Dinheiro,102.04,4.761904762,5.102,6.8
365-64-0515,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,46.95,5,11.7375,246.4875,2022-11-06 17:43:50.763826,10:25:00 AM,Carteira Digital,234.75,4.761904762,11.7375,7.1
252-56-2699,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,43.19,10,21.595,453.495,2022-11-07 17:43:50.763826,4:48:00 PM,Carteira Digital,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,71.38,10,35.69,749.49,2022-11-08 17:43:50.763826,7:21:00 PM,Dinheiro,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,93.72,6,28.116,590.436,2022-11-09 17:43:50.763826,4:19:00 PM,Dinheiro,562.32,4.761904762,28.116,4.5
656-95-9349,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,68.93,7,24.1255,506.6355,2022-11-10 17:43:50.763826,11:03:00 AM,Cartão de Crédito,482.51,4.761904762,24.1255,4.6
765-26-6951,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,72.61,6,21.783,457.443,2022-11-11 17:43:50.763826,10:39:00 AM,Cartão de Crédito,435.66,4.761904762,21.783,6.9
329-62-1586,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,54.67,3,8.2005,172.2105,2022-11-12 17:43:50.763826,6:00:00 PM,Cartão de Crédito,164.01,4.761904762,8.2005,8.6
319-50-3348,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,40.3,2,4.03,84.63,2022-11-13 17:43:50.763826,3:30:00 PM,Carteira Digital,80.6,4.761904762,4.03,4.4
300-71-4605,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,86.04,5,21.51,451.71,2022-11-14 17:43:50.763826,11:24:00 AM,Carteira Digital,430.2,4.761904762,21.51,4.8
